Region,Region Code,"Annual Per Capita Poverty Threshold 
(in PhP)  2015u ","Annual Per Capita Poverty Threshold 
(in PhP)  2018u ",Poverty Incidence among Families Estimates (%) 2015u,Poverty Incidence among Families Estimates (%) 2018u ,Poverty Incidence among Families Coefficient of Variation 2015u ,Poverty Incidence among Families Coefficient of Variation 2018u ,Poverty Incidence among Families Standard Error 2015u ,Poverty Incidence among Families Standard Error 2018u ,Poverty Incidence among Families 90% Confidence Interval 2015u Lower Limit,Poverty Incidence among Families 90% Confidence Interval 2015u Upper Limit,Poverty Incidence among Families 90% Confidence Interval 2018u Lower Limit,Poverty Incidence among Families 90% Confidence Interval 2018u Upper Limit,Magnitude of Poor Families Estimate ('000) 2015u ,Magnitude of Poor Families Estimate ('000) 2018u ,Magnitude of Poor Families Coefficient of Variation 2015u ,Magnitude of Poor Families Coefficient of Variation 2018u ,Magnitude of Poor Families Standard Error 2015u ,Magnitude of Poor Families Standard Error 2018u ,Magnitude of Poor Families 90% Confidence Interval 2015u Lower Limit,Magnitude of Poor Families 90% Confidence Interval 2015u Upper Limit,Magnitude of Poor Families 90% Confidence Interval 2018u Lower Limit,Magnitude of Poor Families 90% Confidence Interval 2018u Upper Limit,,,,,
PHILIPPINES*,," 22,747 "," 25,813 ",18.0, 12.1 ,2.1, 1.4 ,0.4, 0.2 ,17.4,18.6, 11.9 , 12.4 ," 4,138.4 "," 3,004.6 ", 2.1 , 1.4 ,86.0, 42.4 ," 3,996.8 "," 4,280.0 "," 2,934.9 "," 3,074.3 ",,,,,
NATIONAL CAPITAL REGION (NCR)*,PH130000000," 25,188 "," 28,682 ",2.8, 1.4 ,10.7, 10.4 ,0.3, 0.1 ,2.3,3.3, 1.2 , 1.7 , 86.1 , 47.6 , 11.4 , 10.6 ,9.8, 5.1 , 70.0 , 102.2 , 39.3 , 55.9 ,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR)*,PH140000000," 22,985 "," 24,907 ",17.1, 8.6 ,11.0, 5.3 ,1.9, 0.5 ,14.0,20.2, 7.9 , 9.4 , 67.6 , 36.3 , 13.9 , 5.4 ,9.4, 2.0 , 52.1 , 83.2 , 33.1 , 39.6 ,,,,,
REGION I (ILOCOS REGION)*,PH010000000," 22,762 "," 27,055 ",14.0, 7.0 ,8.4, 9.6 ,1.2, 0.7 ,12.0,15.9, 5.9 , 8.1 , 160.9 , 85.2 , 11.8 , 9.7 ,18.9, 8.3 , 129.7 , 192.1 , 71.5 , 98.8 ,,,,,
REGION II (CAGAYAN VALLEY),PH020000000," 22,622 "," 25,099 ",13.1, 12.5 ,7.9, 6.4 ,1.0, 0.8 ,11.4,14.8, 11.2 , 13.8 , 105.5 , 106.3 , 12.0 , 6.7 ,12.6, 7.1 , 84.8 , 126.3 , 94.6 , 118.0 ,,,,,
REGION III (CENTRAL LUZON)*,PH030000000," 22,867 "," 26,954 ",8.3, 5.2 ,9.7, 6.4 ,0.8, 0.3 ,7.0,9.6, 4.6 , 5.7 , 212.9 , 143.4 , 12.0 , 6.7 ,25.7, 9.7 , 170.7 , 255.1 , 127.5 , 159.3 ,,,,,
REGION IV-A (CALABARZON)*,PH040000000," 25,642 "," 27,928 ",9.2, 5.1 ,8.6, 7.3 ,0.8, 0.4 ,7.9,10.5, 4.5 , 5.7 , 312.8 , 190.4 , 10.3 , 7.6 ,32.1, 14.5 , 259.9 , 365.7 , 166.6 , 214.2 ,,,,,
MIMAROPA REGION*,PH170000000," 20,369 "," 23,315 ",18.0, 10.5 ,11.0, 6.5 ,2.0, 0.7 ,14.8,21.3, 9.4 , 11.6 , 123.0 , 77.4 , 14.2 , 6.7 ,17.5, 5.2 , 94.2 , 151.8 , 68.8 , 85.9 ,,,,,
REGION V (BICOL REGION)*,PH050000000," 22,503 "," 24,461 ",31.0, 20.0 ,5.4, 4.0 ,1.7, 0.8 ,28.2,33.8, 18.7 , 21.3 , 377.2 , 256.3 , 9.7 , 4.2 ,36.4, 10.8 , 317.3 , 437.1 , 238.4 , 274.1 ,,,,,
REGION VI (WESTERN VISAYAS)*,PH060000000," 21,921 "," 24,494 ",18.5, 11.9 ,7.6, 6.2 ,1.4, 0.7 ,16.2,20.8, 10.7 , 13.1 , 317.1 , 218.3 , 10.2 , 6.5 ,32.4, 14.2 , 263.7 , 370.5 , 194.8 , 241.7 ,,,,,
